nazwa,miasto,branza,kod
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja wyrobów stolarskich i ciesielskich dla budownictwa,"['20', '30', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja opakowań drewnianych,"['20', '40', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Produkcja wyrobów z drewna pozostałych; Produkcja wyrobów z korka, słomy i z materiałów używanych do wyplatania","['20', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Działalność wydawnicza,"['22', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Działalność poligraficzna,"['22', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Reprodukcja zapisanych nośników informacji,"['22', '3', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Produkcja środków myjących i czyszczących, wyrobów kosmetycznych i toaletowych","['24', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja wyrobów z tworzyw sztucznych,"['25', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja wyrobów betonowych oraz gipsowych,"['26', '6', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja wyrobów ze skał i kamienia naturalnego,"['26', '70', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Odlewnictwo metali,"['27', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja metalowych elementów konstrukcyjnych,"['28', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Obróbka metali i nakładanie powłok na metale; Obróbka mechaniczna elementów metalowych,"['28', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja pozostałych metalowych wyrobów gotowych,"['28', '7', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Produkcja pozostałych maszyn ogólnego przeznaczenia,"['29', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Przygotowanie terenu pod budowę,"['45', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wznoszenie kompletnych obiektów budowlanych lub ich części; Inżynieria lądowa i wodna,"['45', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wykonywanie instalacji budowlanych,"['45', '3', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wykonywanie robót budowlanych wykończeniowych,"['45', '4', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wynajem sprzętu budowlanego i burzącego z obsługą operatorską,"['45', '50', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż pojazdów mechanicznych,"['50', '10', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż części i akcesoriów do pojazdów mechanicznych,"['50', '30', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Sprzedaż, konserwacja i naprawa motocykli oraz sprzedaż części i akcesoriów do nich","['50', '40', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż detaliczna paliw,"['50', '50', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż hurtowa realizowana na zlecenie,"['51', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż hurtowa płodów rolnych i żywych zwierząt,"['51', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Sprzedaż hurtowa żywności, napojów i tytoniu","['51', '3', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż hurtowa artykułów użytku domowego i osobistego,"['51', '4', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż hurtowa półproduktów i odpadów pochodzenia nierolniczego oraz złomu,"['51', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Sprzedaż hurtowa  maszyn, sprzętu i dodatkowego wyposażenia","['51', '6', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostała sprzedaż hurtowa,"['51', '70', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż detaliczna w nie wyspecjalizowanych sklepach,"['52', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach","['52', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż detaliczna kosmetyków i artykułów toaletowych,"['52', '33', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostała sprzedaż detaliczna nowych towarów w wyspecjalizowanych sklepach,"['52', '4', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Sprzedaż detaliczna artykułów używanych prowadzona w sklepach,"['52', '50', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Handel detaliczny poza siecią sklepową,"['52', '6', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Hotele,"['55', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostałe obiekty noclegowe turystyki i inne miejsca krótkotrwałego zakwaterowania,"['55', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Restauracje i inne placówki gastronomiczne,"['55', '30', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Bary,"['55', '40', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Działalność stołówek i katering,"['55', '5', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Transport lądowy pozostały,"['60', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Przeładunek, magazynowanie, i przechowywanie towarów","['63', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostała działalność wspomagająca transport,"['63', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Działalność związana z turystyką,"['63', '30', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Obsługa nieruchomości na własny rachunek,"['70', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wynajem nieruchomości na własny rachunek,"['70', '20', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Obsługa nieruchomości na zlecenie,"['70', '3', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wynajem samochodów osobowych,"['71', '10', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wynajem pozostałych środków transportu,"['71', '2', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wynajem maszyn i urządzeń,"['71', '3', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Wypożyczanie artykułów użytku osobistego i domowego,"['71', '40', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Badania i analizy techniczne,"['74', '30', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Reklama,"['74', '40', 'Z']"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostała działalność komercyjna,"['74', '8', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Szkolnictwo dla dorosłych i pozostałe formy kształcenia,"['80', '4', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Działalność związana z filmem i przemysłem wideo,"['92', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,"Pośrednictwo pieniężne, które polega na pośrednictwie w uzyskaniu kredytu lub pożyczki od instytucji pieniężnych","['65', '1', None]"
"PRZEDSIĘBIORSTWO HANDLOWE I PRODUKCYJNE ""SINAH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Kraków,Pozostałe pośrednictwo finansowe,"['65', '2', None]"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych prowadzona w wyspecjalizowanych sklepach,"['47', '25', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach,"['47', '19', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli","['45', '31', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,"Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli","['45', '32', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych","['46', '3', None]"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż detaliczna owoców i warzyw prowadzona w wyspecjalizowanych sklepach,"['47', '21', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż detaliczna pozostałej żywności prowadzona w wyspecjalizowanych sklepach,"['47', '29', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż hurtowa odzieży i obuwia,"['46', '42', 'Z']"
"""GRADA II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż hurtowa napojów bezalkoholowych,"['46', '34', 'B']"
"CZĘSTOCHOWSKA SPÓŁDZIELNIA MLECZARSKA ""MLECZGAL"" W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Przetwórstwo mleka i wyrób serów,"['10', '51', 'Z']"
"CZĘSTOCHOWSKA SPÓŁDZIELNIA MLECZARSKA ""MLECZGAL"" W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,"Sprzedaż hurtowa wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych","['46', '33', 'Z']"
"CZĘSTOCHOWSKA SPÓŁDZIELNIA MLECZARSKA ""MLECZGAL"" W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Sprzedaż detaliczna wyrobów mlecznych i jaj w wyspecjalizowanych sklepach,"['47', '29', 'Z']"
"CZĘSTOCHOWSKA SPÓŁDZIELNIA MLECZARSKA ""MLECZGAL"" W UPADŁOŚCI LIKWIDACYJNEJ",Częstochowa,Towarowy transport drogowy pojazdami specjalizowanymi,"['49', '41', 'Z']"
CUBUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI,Warszawa,"Działalność agentów zajmujących się sprzedażą wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych","['46', '16', 'Z']"
